timestamp,index,last,change,percent_change,open,high,low,previous_close,day_range_volatility_pct
2026-08-13T04:30:13,NIFTY BANK,57679.2,-206.65,-0.36,57799.15,57799.15,57550.25,57885.85,0.43
2026-08-13T04:30:13,NIFTY AUTO,29450.1,87.05,0.3,29399.25,29508.35,29370.45,29363.05,0.4696
2026-08-13T04:30:13,NIFTY FINANCIAL SERVICES 25/50,28751.15,-74.45,-0.26,28839.6,28839.6,28692.45,28825.6,0.5105
2026-08-13T04:30:13,NIFTY FMCG,48460.15,30.8,0.06,48400.45,48491.05,48302.3,48429.35,0.3897
2026-08-13T04:30:13,NIFTY IT,31184.6,-147.95,-0.47,31277,31301.95,31098.6,31332.55,0.649
2026-08-13T04:30:13,NIFTY MEDIA,1586.95,17.85,1.14,1578.35,1591,1568.9,1569.1,1.4085
2026-08-13T04:30:13,NIFTY METAL,13065.35,-106.1,-0.81,13141.4,13155.4,13061.95,13171.45,0.7095
2026-08-13T04:30:13,NIFTY PHARMA,26621.8,-140.7,-0.53,26710.65,26712.35,26537.45,26762.5,0.6535
2026-08-13T04:30:13,NIFTY PSU BANK,8834.1,16.6,0.19,8817.65,8850.25,8750.85,8817.5,1.1273
2026-08-13T04:30:13,NIFTY REALTY,887.45,-2.35,-0.26,889.1,889.1,881.85,889.8,0.8148
2026-08-13T04:30:13,NIFTY HEALTHCARE INDEX,16552.2,-80.15,-0.48,16621.95,16629.15,16534.5,16632.35,0.5691
2026-08-13T04:30:13,NIFTY CONSUMER DURABLES,39869.35,-253.6,-0.63,40111.15,40117.65,39847.5,40122.95,0.6733
2026-08-13T04:30:13,NIFTY OIL & GAS,11221.6,-72.3,-0.64,11292.95,11293.5,11203,11293.9,0.8013
2026-08-13T04:30:13,NIFTY ENERGY,38597.8,-179.1,-0.46,38778.1,38780.7,38569.1,38776.9,0.5457
